编号,构图,光源数量,光源位置,光的质量,光的色彩,景别类型,景深范围,饱和度,亮度,色温,对比度,Prompt,en_prompt
T076,对称构图,,顺光,,白光,中景,,高,,,,玻璃花房内植物整齐排列，对称构图强化秩序感，顺光透过屋顶均匀照明，白光还原真实色彩，中景拍摄叶片细节，饱和度高。,"The plants inside the glass greenhouse are neatly arranged in symmetrical patterns, enhancing a sense of order. The skylight allows uniform lighting with white light that accurately reproduces true colors. The mid-range shot captures the details of the leaves with high color saturation."
T077,框架构图,多光源,,,冷光,全景,浅景深,,,,,地铁站台广告灯箱密集排列，多光源形成冷色调照明环境，框架构图以栏杆为边界，全景拍摄候车人群，浅景深虚化移动列车。,"The metro platform is lined with closely packed advertising light boxes, creating a cool-toned lighting environment due to multiple light sources. The frame composition uses the railing as a boundary, capturing the waiting crowd in full view, while a shallow depth of field blurs the moving trains."
T078,中心构图,,侧光,软光,,近景,,,,暖,,老人坐在窗边阅读，中心构图突出人物主体，侧光柔和照亮书页，软光避免刺眼反光，近景拍摄翻书动作，色温偏暖。,"The elderly man sits by the window reading, with the central composition highlighting the main figure. Soft side lighting gently illuminates the pages of the book, and diffused light prevents any harsh reflections. A close-up captures the motion of turning the page, with a warm color temperature."
T079,引导线构图,多光源,,,彩色光,远景,,,,,高,高速公路夜间延时拍摄，车灯形成光轨，引导线构图沿车道延伸，多光源构成彩色光流，远景展现交通脉络，对比度高。,"Nighttime long exposure photography on the highway captures car lights as light trails, with leading lines extending along the lanes. Multiple light sources create colorful light flows, and the long shot reveals the network of traffic, featuring high contrast."
T080,三分法构图,,顺光,硬光,,特写,,中,,,,模特在影棚拍摄，顺光正面打光使面部无阴影，三分法构图安排眼神位置，硬光增强皮肤质感，特写面部，饱和度中等。,"The model is being photographed in a studio with front lighting to avoid shadows on the face. The gaze is positioned according to the rule of thirds. Harsh light is used to enhance the texture of the skin, and a close-up of the face is taken with medium saturation."
T081,框架构图,,底光,,暖光,全景,深景深,,中,,,古戏台以雕花窗棂形成框架构图，底光来自舞台灯笼，暖光向上照射演员，全景展现表演场景，深景深保持前后清晰，亮度中。,"The ancient stage is framed by carved lattice windows, with lighting from the stage lanterns casting warm uplights on the performers. The entire scene is illuminated with medium brightness and deep focus, ensuring clarity from foreground to background."
T082,非对称构图,,逆光,,白光,中景,,,,,低,街头滑板少年跃起瞬间，非对称构图制造动感，逆光勾勒身体轮廓，白光为主照明，中景拍摄动作全过程，对比度低，过渡柔和。,"A street skateboarding teenager leaps into the air, and an asymmetrical composition creates a sense of motion. Backlighting outlines his body contours, with white light as the main source of illumination. The action is captured in a mid-shot, with low contrast and soft transitions."
T083,中心构图,单光源,,,暖光,近景,浅景深,,,,,篝火晚会中一人独坐中央，中心构图强调孤独感，单光源来自火焰，暖光跳动照明，近景拍摄面部光影变化，浅景深虚化背景人群。,"At the bonfire party, one person sits alone in the center, with a central composition emphasizing loneliness. The single light source comes from the flames, casting warm, flickering light. A close-up shot captures the changes in facial shadows, while a shallow depth of field blurs the background crowd."
T084,三分法构图,多光源,,,彩色光,远景,,,,冷,,节日烟花在夜空绽放，多光源形成瞬时高亮，彩色光交织成图案，三分法构图安排爆炸点，远景拍摄天际全景，色温冷。,"Festival fireworks bloom in the night sky, with multiple light sources creating momentary highlights. Colored lights interweave into patterns. The burst points are arranged according to the rule of thirds. A long shot captures the full panorama of the horizon, with a cool color temperature."
T085,对称构图,,顶光,硬光,,全景,,高,,,,瀑布从高处垂直落下，对称构图展现水流对称美感，顶光直射水面，硬光突出水珠飞溅，全景拍摄，饱和度高，色彩鲜艳。,"The waterfall drops vertically from a great height, showcasing the symmetrical beauty of the flowing water with its balanced composition. Direct sunlight shines straight down onto the water's surface, and the hard light highlights the splashing water droplets. The full panoramic shot has high saturation and vivid colors."
T086,,单光源,侧光,硬光,,特写,,,,,高,实验室显微镜操作，单光源从上方照射样本，硬光增强纹理对比，侧光突出细胞边缘，特写镜头，对比度高，便于观察细节。,"Laboratory microscope operation with a single light source illuminating the sample from above, using harsh light to enhance texture contrast, side lighting to highlight cell edges, close-up shots with high contrast for easy detail observation."
T087,引导线构图,,顺光,软光,,中景,,,,中,,图书馆自习区长桌延伸至深处，引导线构图引导视线，顺光透过天窗洒下，软光覆盖桌面，中景拍摄学习场景，色温中性。,"The long study tables in the library stretch far into the distance, with guiding lines leading the eye. Soft sunlight streams in through skylights, casting a gentle glow over the desks. The scene is captured from a mid-shot, with a neutral color temperature."
T088,非对称构图,,底光,,彩色光,近景,,,暗,,,万圣节南瓜灯排列不规则，非对称构图制造诡异感，底光从内部照亮面部，彩色光闪烁，近景拍摄火焰跳动，亮度暗。,"Irregularly arranged Halloween pumpkins with asymmetrical designs create an eerie effect. The face is illuminated from below by internal lighting, while colored lights flicker. A close-up shot of the flame dancing in dim brightness."
T089,框架构图,多光源,,,冷光,中景,,低,,,,极地帐篷外暴风雪肆虐，多光源来自内部灯与手电，冷光主导环境，框架构图以门帘为界，中景拍摄队员检查设备，饱和度低。,"Outside the polar tent, a blizzard rages, with multiple light sources coming from internal lamps and flashlights, dominating the environment with cold light. The frame is divided by a door curtain, with a mid-shot of team members checking their equipment, shot in low saturation."
T090,三分法构图,,逆光,,白光,远景,,,,,低,日出湖面波光粼粼，三分法构图安排水天比例，逆光使小舟成剪影，白光与暖光交融，远景展现晨雾弥漫，对比度低。,"The sunrise creates shimmering ripples on the lake surface. The rule of thirds is used to arrange the ratio between water and sky. Backlight turns the small boat into a silhouette, blending white light with warm tones. The distant view shows the morning mist spreading, with low contrast throughout the scene."
T091,对称构图,,顺光,,白光,远景,深景深,,,,,清晨的现代美术馆外立面呈几何对称，顺光均匀照亮玻璃幕墙，白光反射天空，远景展现建筑与城市背景，深景深保持远景清晰。,"The facade of the modern art museum in the early morning is geometrically symmetrical, with sunlight evenly illuminating the glass walls. The white light reflects the sky, and the distant view shows the building against the backdrop of the city, with deep depth of field keeping the far scenery clear."
T092,非对称构图,多光源,,,冷光,中景,,,,,中,都市天桥上行人错位行走，非对称构图制造动态节奏，多光源来自手机与广告牌，冷光主导夜间环境，中景拍摄人群流动，对比度中等。,"Pedestrians on the city overpass walk out of alignment, creating a dynamic rhythm with an asymmetrical composition. Multiple light sources come from phones and billboards, with cool light dominating the night environment. The mid-shot captures the flow of people, with medium contrast."
T093,三分法构图,,侧光,,暖光,近景,,高,,,,草原上牧羊犬驱赶羊群，采用三分法构图将狗置于左三分之一线，侧光拉长影子，暖光渲染午后阳光，近景拍摄奔跑姿态，饱和度高。,"On the grassland, a herding dog drives a flock of sheep. Using the rule of thirds, the dog is placed along the left third line. Side lighting elongates the shadows, while warm light casts the afternoon sun. The scene is captured up close, showing the dog in motion, with high color saturation."
T094,中心构图,,顶光,硬光,,特写,,,亮,,,潜水员在沉船入口悬停，身体居于画面正中，中心构图突出探索感，顶光从水面穿透，硬光形成光束，特写其手触船体瞬间，亮度亮。,"The diver hovers at the entrance of the sunken ship, with his body centered in the frame to emphasize the sense of exploration. Top light penetrates through the water surface, forming a beam of hard light. The moment his hand touches the ship's hull is captured in close-up, highlighting the brightness of the scene."
T095,框架构图,单光源,逆光,,,近景,浅景深,,,,,老式火车站月台以铁架形成天然框架构图，逆光勾勒候车乘客剪影，单光源来自站台尽头，近景拍摄面部轮廓，浅景深虚化背景列车。,"The old-fashioned railway platform, with its iron framework forming a natural composition, outlines the silhouettes of passengers waiting on the platform against the backlight. The single light source comes from the end of the platform, and the close-up shot captures the contours of faces while using a shallow depth of field to blur the background train."
T096,引导线构图,,底光,,彩色光,全景,,,,冷,,山间盘山公路蜿蜒而上，引导线构图引导视线深入，底光来自晨雾中的地灯，彩色光点缀弯道警示灯，全景展现道路全貌，色温冷。,"The winding mountain road climbs up the hillside, with guide lines leading the eye into the distance. The underlighting comes from ground lamps in the morning mist, and colored lights accentuate the warning lights at the bends. The full view showcases the entire road, with a cool color temperature."
T097,对称构图,多光源,,,暖光,远景,,中,,,,婚礼仪式中花童撒花，对称构图安排走道两侧宾客，多光源来自烛台与吊灯，暖光营造温馨氛围，远景拍摄全场，饱和度中等。,"The flower petals scattered by the ring bearers during the wedding ceremony create a symmetrical composition with guests seated on both sides of the aisle. Multiple light sources from candelabras and chandeliers provide warm lighting, creating a cozy atmosphere. A long shot captures the entire scene with medium color saturation."
T098,中心构图,单光源,逆光,硬光,,,,,,,高,拳击手在角落调整手套，单光源聚光灯直射面部，硬光增强肌肉纹理，逆光勾勒轮廓，中心构图聚焦神情，对比度高。,"The boxer adjusts his gloves in the corner, with a single spotlight shining directly on his face. The harsh light highlights the texture of his muscles, while backlighting outlines his contours. The central composition focuses on his expression, with high contrast."
T099,引导线构图,,顺光,软光,,中景,深景深,,,,,林间溪流沿石阶跌落，引导线构图展现水流路径，顺光洒满水面，软光使波纹柔和，中景拍摄水花细节，景深深，前后清晰。,"The stream in the forest cascades down stone steps, with leading lines showcasing the water's path. The frontlit surface is bathed in light, and soft lighting makes the ripples gentle. Mid-range shots capture the details of the splashing water, creating a deep scene where both foreground and background are clear."
T100,非对称构图,多光源,,,彩色光,特写,,,中,,,夜市烧烤摊烟火升腾，多光源来自炉火与招牌灯，彩色光闪烁吸引顾客，非对称构图安排摊位分布，特写烤串翻转，亮度中。,"The night market barbecue stalls are bustling with activity, illuminated by multiple sources of light from the flames and sign lights. The colorful flashing lights attract customers, and the vendors are arranged in an asymmetrical composition. A close-up shows skewers being flipped, with medium brightness."
T101,框架构图,,顶光,,白光,全景,,,,中,,天文望远镜圆顶开启，以金属支架形成框架构图，顶光来自内部操作灯，白光微弱照明，全景展现设备启动过程，色温中性。,"The dome of the telescope opens up, framed by metallic support structures. The interior operating lights cast a soft, neutral white glow, illuminating the full process of the equipment startup."
T102,,单光源,底光,硬光,,特写,,低,,,,舞者在地下室练习倒立，单光源从低角度打来，底光制造戏剧性阴影，硬光增强肢体轮廓，特写脚部支撑，饱和度低，氛围冷峻。,"The dancer practices handstands in a basement with a single light source casting light from a low angle, creating dramatic shadows with the use of kicker lighting and enhancing the contours of the body with hard light. A close-up focuses on the feet supporting the pose, with low saturation and a cold atmosphere."
T103,三分法构图,,侧光,,冷光,近景,,,,,中,沙漠沙丘在日落时线条分明，三分法构图安排地平线，侧光雕刻纹理，冷光与暖光交界，近景拍摄光影过渡，对比度中等。,"Desert dunes have distinct outlines at sunset. The horizon is positioned using the rule of thirds, side lighting carves out the textures, and cold light meets warm light. A close-up shot captures the transition of light and shadow with moderate contrast."
T104,对称构图,,顶光,软光,,远景,,,亮,,,正午阳光直射城市喷泉，顶光造成短影，软光因薄云散射而柔和，对称构图拍摄水柱，远景展现人群嬉戏，亮度亮。,"At noon, the direct sunlight hits the city fountain, casting short shadows due to the overhead light. Softened by the scattering of thin clouds, the light is gentle as the water columns are photographed with symmetrical composition, while the background shows people playing, with overall brightness being high."
T105,非对称构图,单光源,逆光,硬光,,中景,,,,暖,,舞台剧演员背光出场，逆光形成剪影，单光源产生硬边轮廓，非对称构图留出舞台空白，中景拍摄入场动作，色温偏暖。,"The stage actor enters from the backlit side, with the backlight creating a silhouette. A single light source produces a sharp outline, and an asymmetrical composition leaves blank space on the stage. The entrance is filmed in mid-shot, with a warm color temperature."
T106,对称构图,,顺光,,白光,中景,,,,,低,玻璃温室中植物整齐排列，对称构图强化秩序感，顺光均匀照明，白光还原真实色彩，中景拍摄叶片露珠，对比度低。,"Plants are neatly arranged in the glass greenhouse, with symmetrical compositions enhancing a sense of order. Uniform lighting from front illumination and white light restore true colors. The mid-range shot focuses on dewdrops on leaves, featuring low contrast."
T107,框架构图,多光源,,,冷光,全景,浅景深,,,,,地铁广告墙灯光密集，多光源形成冷色调照明，框架构图以玻璃门为界，全景拍摄通勤人群，浅景深虚化移动背景。,"The subway advertising wall is brightly lit with numerous light sources creating a cool-toned illumination. The frame is defined by a glass door, and the entire scene captures the commuting crowd with a shallow depth of field that blurs the moving background."
T108,中心构图,,侧光,软光,,近景,,中,,,,老人坐在阳台藤椅上看书，中心构图突出主体，侧光柔和照亮书页，软光避免刺眼，近景拍摄翻页动作，饱和度中等。,"An elderly man sits on a wicker chair on the balcony reading a book. The central composition highlights the main subject, with soft side lighting gently illuminating the pages. The soft light avoids any glare, and a close-up captures the action of turning the page. The saturation is medium."
T109,引导线构图,多光源,,,彩色光,远景,,,,冷,,高速公路夜间航拍，车灯形成彩色光轨，引导线构图沿车道延伸，多光源构成动态轨迹，远景展现交通流，色温冷。,"Night aerial footage of a highway shows the headlights forming colorful light trails, guiding lines extending along the lanes, and multiple sources creating dynamic trajectories. The long shot reveals the flow of traffic, with a cool color temperature."
T110,三分法构图,,顺光,硬光,,中景,,,中,,,模特在影棚拍摄面部特写，顺光正面打光，硬光增强皮肤质感，三分法构图安排眼神位置，中景拍摄表情变化，亮度中等。,"The model is being photographed in a studio for close-up facial shots. The lighting is front-facing and coming from the direction of the light source, using hard light to enhance the texture of the skin. The gaze position follows the rule of thirds composition. Mid-shot is used to capture changes in expression, with moderate brightness."
T111,非对称构图,单光源,底光,硬光,冷光,,,,,,,地下室的非对称布局，单一的冷光从底部向上照射，硬质光线制造悬疑氛围。,"The basement's asymmetrical layout, illuminated by a single cold light shining up from below, creates a suspenseful atmosphere with its harsh lighting."
T112,,,,,,远景,深景深,中,亮,,中,草原牧场的远景，深景深展现天地辽阔，中饱和的色彩在明亮光线下自然和谐。,"A distant view of the grassland pasture, with deep depth of field showcasing the vast expanse of heaven and earth, and medium-saturated colors harmonizing naturally in bright light."
T113,,,,,,全景,浅景深,低,中,冷,,晨雾码头的全景，浅景深虚化远景，低饱和的冷色调在中等亮度中朦胧诗意。,"A panoramic view of the Morning Mist Pier, with a shallow depth of field blurring the distant scenery, and a low-saturated cool tone creating a hazy and poetic atmosphere in medium brightness."
T114,,,,,,中景,深景深,高,亮,暖,,集市商贩的中景，深景深展现热闹场景，高饱和的商品在强光下色彩鲜艳。,"A mid-shot of the market vendors, with a deep depth of field showcasing a bustling scene, and highly saturated goods appearing vividly under strong light."
T115,对称构图,多光源,顶光,软光,暖光,,,,,,,古典音乐厅的对称构图，多个水晶吊灯从顶部投下柔和的暖光，照亮整个演奏大厅，营造庄重典雅的氛围。,"The symmetrical layout of the classical music hall, with multiple crystal chandeliers hanging from above, casts soft warm light across the entire performance hall, creating an atmosphere of grandeur and elegance."
T116,,,,,,远景,深景深,低,中,冷,,雪山湖泊的远景，深景深让前景的松林和远山都清晰可见，低饱和度的冷色调画面在中等亮度下显得宁静空灵。,"The distant view of snow-capped mountains and lakes, with a deep depth of field that makes both the foreground pine forest and the distant mountains crystal clear, creates a serene and ethereal scene with its low-saturation cool color tones at medium brightness."
T117,非对称构图,单光源,侧光,硬光,白光,,,,,,,现代艺术展区的非对称布局，单一射灯从侧面投下硬质白光，在雕塑表面形成强烈的明暗对比。,"The modern art gallery's asymmetrical layout, with a single spotlight casting harsh white light from the side, creates strong contrasts of light and shadow on the sculptures."
T118,,,,,,全景,浅景深,高,亮,暖,,夏日海滩的全景，浅景深虚化远处海浪，高饱和度的蓝色海水在明亮阳光下闪耀，暖色调增强度假氛围。,"A panoramic view of the summer beach, with a shallow depth of field that blurs the distant waves, and the high saturation of blue in the sea water sparkling in bright sunlight, enhanced warm tones adding to the vacation atmosphere."
T119,三分法构图,多光源,逆光,硬光,冷光,,,,,,,城市天际线的三分法构图，多个建筑的玻璃幕墙反射冷色调逆光，硬朗的光线勾勒出现代化轮廓。,"The city skyline follows a rule of thirds composition, with multiple buildings' glass facades reflecting cool-toned backlighting. Sharp light outlines the modern contours."
T120,,,,,,中景,深景深,中,中,,中,咖啡馆读书角的中景，深景深展现整个环境细节，中等的色彩和对比度营造舒适休闲氛围。,"A mid-shot of the reading corner in the cafe, with a deep depth of field to showcase the details of the entire environment. Moderate color and contrast create a comfortable and relaxed atmosphere."
T121,中心构图,单光源,底光,软光,彩色光,,,,,,,舞台表演的中心构图，从下方投来的单一彩色软光，为舞者营造梦幻般的视觉效果。,"The central stage setup, with soft colored light shining up from below, creates a dreamlike visual effect for the dancers."
T122,,,,,,近景,浅景深,低,暗,,高,古老书籍的近景，浅景深虚化背景，低饱和的暗调画面配合高对比度，展现历史文献的厚重感。,"A close-up of an ancient book with a shallow depth of field that blurs the background, a low-saturation dark tone, and high contrast to convey the weighty feel of historical documents."
T123,框架构图,多光源,顺光,硬光,白光,,,,,,,通过拱形门廊（框架构图）观看庭院，多个照明灯提供均匀的白色顺光，硬质光线清晰展现建筑细节。,"Viewing the courtyard through an arched portico (framed composition), multiple lighting fixtures provide even white front lighting, with hard light clearly showcasing the architectural details."
T124,,,,,,特写,深景深,高,亮,,高,珠宝工艺的特写，深景深展现每个切割面，高饱和的宝石在强光下折射出耀眼的光芒。,"Close-up shots of jewelry craftsmanship, with a deep depth of field showcasing every cut facet, and highly saturated gemstones refracting dazzling light in strong illumination."
T125,引导线构图,单光源,侧光,软光,暖光,,,,,,,林间小道的引导线构图，夕阳的侧光柔和温暖，为整个场景披上金色光辉。,"The trail through the forest guides the composition, and the soft, warm sidelight of the sunset adorns the entire scene with golden hues."
T126,,,,,,远景,浅景深,中,暗,暖,,黄昏田野的远景，浅景深让远山朦胧，中饱和的暖色调在暗光中营造温馨的暮色氛围。,"The distant view of the sunset field, with a shallow depth of field making the distant mountains hazy, creates a warm and cozy twilight atmosphere with moderately saturated warm tones in the dim light."
T127,对称构图,多光源,逆光,软光,冷光,,,,,,,现代教堂的对称空间，多个彩色玻璃窗透出冷色调逆光，柔和的光线充满神圣感。,"The symmetrical space of a modern church is filled with a sense of sanctity as multiple colored windows let in cool, backlit light, casting a soft glow."
T128,,,,,,全景,深景深,低,亮,冷,,冬日雪原的全景，深景深展现辽阔雪景，低饱和的冷色调在明亮光线下更显纯净。,"A panoramic view of the winter snowfield, with a deep depth of field showcasing the vast snowy landscape, and the low-saturated cool tones appearing even purer in bright light."
T129,非对称构图,单光源,顶光,硬光,彩色光,,,,,,,实验室工作台的非对称布局，单一彩色顶灯投下硬质光线，突出实验器材的科技感。,"The asymmetric layout of the laboratory workstations, combined with a single-color top light casting hard shadows, highlights the technological feel of the experimental equipment."
T130,,,,,,中景,浅景深,高,中,,低,花店陈列的中景，浅景深虚化背景，高饱和的花朵色彩在柔和光线下和谐统一。,"The midground of a flower shop, with a shallow depth of field blurring the background, features highly saturated flower colors that harmonize beautifully under soft lighting."
T131,三分法构图,单光源,底光,软光,暖光,,,,,,,餐厅餐桌的三分法构图，从下方投射的单一暖光柔和照亮餐具，营造温馨用餐氛围。,"A third-rule composition of the restaurant table, with a single warm light softly illuminating the tableware from below, creates a cozy dining atmosphere."
T132,,,,,,近景,深景深,中,亮,冷,,科技产品的近景，深景深展现产品全貌，中饱和的金属质感在冷光下凸显现代设计。,"A close-up of a tech product, with a deep depth of field showcasing the entire product. Its moderately saturated metallic finish stands out under cool lighting, highlighting its modern design."
T133,中心构图,多光源,侧光,硬光,白光,,,,,,,珠宝展示柜的中心构图，多个侧灯投下硬质白光，让钻石的每个切面都闪耀夺目。,"The central display in the jewelry showcase is illuminated by multiple sidelights casting harsh white light, making every facet of the diamond sparkle brilliantly."
T134,框架构图,单光源,逆光,软光,暖光,,,,,,,通过圆形窗框（框架构图）观看室内，逆光的暖色软光为空间营造温馨私密感。,"Looking through a circular window frame (framing composition), warm, soft light from the backlighting creates a cozy and intimate atmosphere in the space."
T135,,,,,,特写,浅景深,低,中,,中,陶瓷工艺的特写，浅景深虚化背景，低饱和的釉色在自然光下展现细腻质感。,"A close-up of ceramic craftsmanship with a shallow depth of field that blurs the background, showcasing the delicate texture of the low-saturated glaze in natural light."
T136,引导线构图,多光源,顶光,硬光,彩色光,,,,,,,商业街的引导线构图，多个彩色顶灯投下硬质光线，营造繁华的夜间景观。,"The layout of the commercial street features multiple colored pendant lights casting sharp beams, creating a bustling nighttime scene."
T137,,,,,,远景,深景深,高,暗,暖,,沙漠落日的远景，深景深展现天地辽阔，高饱和的暖色调在暗光中更显壮丽。,"The distant view of the desert sunset, with its deep depth of field showcasing the vast expanse of land and sky, and the high saturation of warm colors appearing even more majestic in the dim light."
T138,对称构图,单光源,顺光,软光,白光,,,,,,,图书馆书架的对称构图，单一窗户的顺光柔和均匀，为阅读空间提供舒适照明。,"The symmetrical arrangement of the library bookshelves and the soft, even light from a single window provide comfortable illumination for the reading space."
T139,,,,,,全景,浅景深,中,中,,高,城市广场的全景，浅景深虚化背景建筑，中饱和的色彩配合高对比度突出主体人物。,"A panoramic view of the city square, with a shallow depth of field blurring the background buildings, and moderately saturated colors enhancing the high contrast to highlight the main figure."
T140,非对称构图,多光源,逆光,硬光,暖光,,,,,,,艺术工作室的非对称布局，多个暖色逆光形成硬朗轮廓，突出创作中的艺术品。,"The asymmetric layout of the art studio, with multiple warm backlighting creating sharp outlines, highlights the artwork being created."
T141,,,,,,中景,深景深,低,亮,暖,,茶室待客的中景，深景深展现传统装饰，低饱和的暖色调在明亮光线下更显雅致。,"A medium close-up of a teahouse reception area, with a deep depth of field showcasing traditional decorations. The warm, low-saturation tones appear even more refined in bright lighting."
T142,三分法构图,多光源,侧光,软光,冷光,,,,,,,现代展厅的三分法构图，多个侧灯投下冷色调软光，为展品营造科技感氛围。,"The modern exhibition hall uses a rule of thirds composition with multiple sidelights casting cool, soft lighting to create a tech-savvy atmosphere for the exhibits."
T143,,,,,,近景,浅景深,高,暗,冷,,水族箱的近景，浅景深虚化背景，高饱和的珊瑚色彩在暗光中发出冷色荧光。,"A close-up of an aquarium with a shallow depth of field that blurs the background, where highly saturated coral colors emit a cool fluorescent glow in dim light."
T144,中心构图,单光源,顶光,硬光,暖光,,,,,,,古董展示的中心构图，单一顶灯投下硬质暖光，突出文物的历史质感。,"The central composition of the antique display is highlighted by a single overhead lamp casting a crisp warm light, emphasizing the historical texture of the artifacts."
T145,对称构图,单光源,顶光,硬光,,,,,,,高,古典教堂内部的对称构图，单一穹顶天窗投下硬质顶光，强烈的明暗对比凸显建筑结构的庄严美感。,"The symmetrical layout inside the classical church, with a single dome skylight casting harsh overhead light, highlights the majestic beauty of the architecture through strong contrasts of light and shadow."
T146,,,,,,远景,深景深,低,中,冷,,雪山远景，深景深展现连绵山脉，低饱和度的冷色调在中等亮度下营造出纯净空灵的意境。,"The distant snow-capped mountains, with a deep depth of field showcasing the continuous range of peaks, create a pure and ethereal atmosphere with low-saturation cool tones under medium brightness."
T147,三分法构图,多光源,侧光,软光,暖光,,,,,,,咖啡馆窗边的三分法构图，多盏壁灯投下柔和的暖色侧光，营造温馨舒适的休闲氛围。,"The cafe by the window uses the rule of thirds composition, with multiple wall lamps casting soft warm side lighting, creating a cozy and comfortable atmosphere for relaxation."
T148,,,,,,特写,浅景深,高,亮,暖,,水果摊特写，浅景深虚化背景，高饱和的暖色调在明亮光线下展现果实的新鲜诱人。,"A close-up of a fruit stand, with a shallow depth of field that blurs the background, and highly saturated warm tones highlighting the freshness and allure of the fruits in bright lighting."
T149,非对称构图,单光源,逆光,硬光,冷光,,,,,,,现代雕塑展区的非对称布局，单一冷色逆光形成硬朗剪影，突出艺术品的抽象形态。,"The asymmetric layout of the modern sculpture exhibition area, combined with single cool colors under backlighting, creates sharp silhouettes that highlight the abstract forms of the artworks."
T150,,,,,,全景,深景深,中,中,,中,城市广场全景，深景深展现环境细节，中等的色彩和对比度真实还原日常场景。,"A panoramic view of the city square, with a deep depth of field to showcase environmental details, and medium color and contrast to authentically reproduce a typical daily scene."
T151,中心构图,多光源,底光,软光,彩色光,,,,,,,舞台表演的中心构图，多色底光柔和向上照射，为舞者营造梦幻的视觉效果。,"The central stage setup, with soft multicolored uplighting, creates a dreamlike visual effect for the dancers."
T152,,,,,,近景,浅景深,低,暗,,低,古籍文献近景，浅景深虚化背景，低饱和的暗调画面配合柔和对比度，呈现历史厚重感。,"A close-up of ancient texts and documents, with a shallow depth of field blurring the background, and a low-saturated, dark-toned image paired with soft contrast to evoke a sense of historical weight."
T153,框架构图,单光源,顺光,硬光,白光,,,,,,,通过门框构图观看书房，单一白顺光硬质照射，清晰展现书架和阅读区的每个细节。,"View the study through the door frame; a single white, direct hard light illuminates it, clearly showcasing every detail of the bookshelves and reading area."
T154,,,,,,中景,深景深,高,,暖,高,市场摊贩中景，深景深展现热闹场景，高饱和的色彩在强对比下更显生动鲜活。,"A medium shot of the market vendors with a deep depth of field showcasing a lively scene, where the highly saturated colors appear even more vivid and vibrant against strong contrasts."
T155,引导线构图,多光源,逆光,软光,冷光,,,,,,,地铁隧道引导线构图，多个冷色逆光柔和照射，形成具有纵深感的未来空间。,"The metro tunnel guide lines, illuminated softly by multiple cool-colored backlight sources, create a deep, futuristic space."
T156,,,,,,远景,浅景深,中,中,暖,,田园风光远景，浅景深让远山朦胧，中饱和的暖色调在自然光下展现乡村宁静。,"The distant view of the pastoral scenery, with a shallow depth of field making the far mountains hazy, and warm tones of medium saturation showcasing the tranquility of the countryside in natural light."
T157,对称构图,多光源,侧光,硬光,冷光,,,,,,,美术馆对称空间，多个侧灯投下冷色硬光，精确照亮每件艺术品的质感。,"In the symmetrical space of the art gallery, multiple side lights cast cool, harsh beams, precisely illuminating the texture of each artwork."
T158,,,,,,特写,深景深,低,暗,冷,,机械腕表特写，深景深展现精密结构，低饱和的冷色调在暗光中凸显工业美感。,"Close-up of a mechanical watch, with a deep depth of field showcasing its intricate structure, and low-saturated cool tones highlighting its industrial aesthetics in dim lighting."
T159,三分法构图,单光源,顶光,软光,白光,,,,,,,工作室三分法构图，单一顶灯投下柔和白光，为创作区域提供均匀照明。,"The studio uses the rule of thirds composition, with a single top light casting soft white light to provide even illumination for the creative area."
T160,,,,,,全景,浅景深,高,,冷,高,夜景城市全景，浅景深虚化远景，高饱和的霓虹色彩在冷色调中对比强烈。,"The night cityscape offers a panoramic view with a shallow depth of field that blurs the distant scenery, and the highly saturated neon colors stand out vividly against the cool tones."
T161,非对称构图,多光源,底光,硬光,暖光,,,,,,,舞台剧非对称布局，多盏暖色底光硬质向上，营造戏剧性的光影效果。,The stage play features an asymmetrical layout with multiple warm-colored spotlights shining upward to create a dramatic lighting effect.
T162,,,,,,近景,深景深,中,亮,,中,手工艺近景，深景深展现制作过程，中等的色彩和亮度真实记录创作细节。,"Close-up of craftsmanship with a deep depth of field to showcase the production process, medium color and brightness to authentically record the details of the creation."
T163,中心构图,单光源,逆光,软光,暖光,,,,,,,人物肖像中心构图，单一暖色逆光柔和勾勒轮廓，营造温馨的人物特写。,"The portrait is centered with a single warm light source from behind, gently outlining the subject's contours and creating a cozy close-up."
T164,框架构图,多光源,顺光,软光,彩色光,,,,,,,通过窗框观看节日庭院，多色彩光柔和顺向照射，营造欢快的庆典氛围。,"Looking through the window frame at the festive courtyard, soft multicolored lights shine gently, creating a joyful celebration atmosphere."
T165,对称构图,单光源,侧光,软光,暖光,,,,,,,一座新古典主义建筑的大厅，采用完美的对称构图，单一窗户射入的侧光柔和地照亮空间，温暖的软光为大理石柱投下柔和的阴影，营造出庄重而温馨的氛围。,"A neoclassical hall with perfectly symmetrical design is softly illuminated by side light from a single window, casting gentle shadows on the marble columns with warm, soft light, creating an atmosphere that is both solemn and cozy."
T166,三分法构图,多光源,逆光,硬光,冷光,,,,,,,黄昏时分的地平线，采用三分法构图将天空与大地分开，多盏城市灯光与夕阳的逆光形成硬朗的轮廓，冷色调的光线勾勒出建筑的剪影，画面充满现代感。,"At dusk, the horizon is divided by the rule of thirds, separating the sky from the earth. The hard outlines of city lights and the backlight of the setting sun create a striking contrast, with cool-toned lighting outlining the silhouettes of buildings, giving the scene a modern feel."
