编号,各组合维度,Prompt,en_prompt
109,构图 + 光照 + 表情,窗边人物肖像，构图简洁，柔和的自然光均匀照亮面部，人物露出淡淡的微笑，光线与表情共同传递出宁静温馨的情绪。,"A portrait of a person by the window, with a simple composition and soft natural light evenly illuminating the face. The subject wears a faint smile, and together the light and expression convey a sense of tranquility and warmth."
110,整体 + 构图 + 服装,一场传统戏曲表演的记录视频，整体上完美展现了程式化的美感，构图讲究，演员的服装在画面中色彩鲜艳、纹样精致，文化韵味深厚。,"A recorded video of a traditional opera performance perfectly showcases the stylized beauty, with well-composed visuals and actors' costumes that are vibrant in color and exquisitely patterned, rich in cultural flavor."
111,构图 + 景别 + 光照 + 影调,一座哥特式大教堂的内部，构图强调其穹顶的纵深感，从宏伟的全景切换到彩绘玻璃的细节特写，黄昏时分的光线透过玻璃投射出斑斓色彩，整体影调低沉而神圣，营造出庄严氛围。,"The interior of a Gothic cathedral, with its composition emphasizing the depth of the vaulted ceiling, shifts from a majestic panoramic view to a detailed close-up of the stained glass. As twilight sets in, light filters through the glass, casting a spectrum of vibrant colors and creating an overall somber yet sacred atmosphere imbued with solemnity."
112,景别 + 光照 + 色彩 + 表情,篝火旁，从围坐人群的中景推近至一位讲述故事者被火光映红的脸部特写，暖色调的光线使其生动的表情充满温暖与感染力，色彩浓郁情感真挚。,"By the campfire, the scene pushes in from a mid-shot of the gathered crowd to a close-up of a storyteller's face illuminated by the warm glow of the fire. The rich hues and heartfelt emotions make their expressive features warm and infectious."
113,表情 + 服装 + 化妆 + 整体,一位京剧名角的后台准备视频，整体上堪称完美的艺术记录，其对镜勾勒脸谱时专注的表情、华丽的戏服与程式化的浓妆相辅相成，极具视觉冲击力和文化内涵。,"The backstage preparation video of a famous Peking Opera actor is a perfect artistic record overall. His focused expression while outlining his facial makeup, gorgeous costumes, and formulaic heavy makeup complement each other, creating a strong visual impact and cultural connotation."
114,构图 + 影调 + 景深 + 服装,一位身着黑色礼服的侦探在雾都街角，构图将其置于画面一侧形成悬念，低调影像与雾气弥漫的浅景深共同烘托神秘感，服装凸显了角色身份。,"A detective in a black tuxedo stands at a street corner in the foggy city, with the composition placing him to one side of the frame to create suspense. The low-key lighting and shallow depth of field, filled with mist, enhance the mysterious atmosphere, while his attire highlights his character's identity."
115,光照 + 色彩 + 景深 + 化妆,时尚大片特写，一束硬光强调模特面部结构，大胆的撞色眼妆在光线下水显突出，极浅景深虚化所有背景，使妆容色彩与质感成为唯一焦点，前卫而富有冲击力。,"Close-up from a fashion spread, with harsh lighting highlighting the model's facial structure. Bold clashing eyeshadows stand out under the light, while an extremely shallow depth of field blurs the entire background, making the makeup colors and textures the sole focus, creating a avant-garde and impactful look."
116,整体 + 景别 + 色彩 + 表情,一个记录儿童生日派对的视频，整体氛围欢乐温馨，景别在派对全景与孩子们惊喜笑脸的特写间切换，明亮活泼的色彩与纯真表情共同传递出无限快乐。,"A video recording a children's birthday party captures an atmosphere that is joyful and warm-hearted. The scenes alternate between wide shots of the entire party and close-ups of the children's delighted smiles, with bright and lively colors complementing their innocent expressions to convey endless happiness."
117,构图 + 光照 + 影调 + 色彩,雨后的霓虹灯街区，构图利用湿滑地面的倒影形成对称，光线在积水上的反射与霓虹灯的色彩交织，整体呈现一种冷峻又绚丽的都市影调，视觉氛围独特。,"After the rain, the neon-lit district forms a symmetrical composition using the reflections on the wet ground. The light reflecting off the puddles intertwines with the colors of the neon lights, creating an overall cold yet vibrant urban atmosphere that is visually unique."
118,景别 + 影调 + 表情 + 服装,从千军万马的战场远景，聚焦到一位浑身浴血的将军坚毅的面部特写，低影调强化了悲壮感，破损的铠甲服装与其决绝的表情共同塑造了英雄末路的角色形象。,"From the vast battlefield scene filled with countless soldiers, the focus shifts to a close-up of a blood-covered general's resolute face. The low-key lighting intensifies the sense of tragedy, and the damaged armor and his determined expression together create the image of a hero at the end of his road."
119,整体 + 构图 + 景深 + 化妆,一个超现实主义妆容艺术视频，整体构思新颖技术精湛，构图将面部分割进行创意表达，通过焦点切换引导观众欣赏妆容不同部位的精细细节，视觉震撼。,"A surrealistic makeup art video with a novel and ingenious concept, showcasing exquisite craftsmanship. The composition creatively divides the face to express ideas, using focal shifts to guide viewers through the intricate details of different parts of the makeup, delivering a stunning visual impact."
120,光照 + 影调 + 色彩 + 服装,烛光摇曳的古典书房内，一位身着丝绒长袍的学者，暖光营造出温馨影调，服装的深红色与暖黄光线相得益彰，色彩搭配凸显人物的沉稳与学识。,"In a classical study room where candlelight flickers, a scholar in a velvet robe stands out. The warm light creates a cozy atmosphere, and the deep red of his attire complements the warm yellow glow, highlighting his steady demeanor and scholarly knowledge."
121,构图 + 景别 + 色彩 + 景深,春日樱花树下，构图采用框架式突出树下的茶席，景别从花枝烂漫的远景推到茶杯氤氲热气的特写，柔和的粉色色彩与浅景深共同营造出恬静唯美的画面。,"Under the cherry blossom tree in spring, the composition uses a framing technique to highlight the tea setting below the tree. The shot starts from a distant view of the blooming branches and pushes in to a close-up of the steam rising from the teacup. The soft pink tones combined with a shallow depth of field create a tranquil and beautiful scene."
122,整体 + 光照 + 表情 + 服装,一位芭蕾舞者在排练厅的独舞视频，整体上优雅动人，顶光洒下勾勒其曼妙身姿，舞者投入的表情与洁白的舞裙在光线下更显圣洁，充满美感。,"A solo dance video of a ballet dancer in a rehearsal studio is overall elegant and captivating. The top lighting outlines her graceful figure, and the dancer's devoted expression, paired with her white tutu, appears even more ethereal and beautiful under the light."
123,影调 + 色彩 + 景深 + 表情,采用复古胶片色调，在喧闹的市集中用浅景深聚焦一位老人饱经风霜却带着笑意的脸，背景色彩斑斓但被虚化，表情故事感极强。,"Using a vintage film tone, the shallow depth of field focuses on an elderly person's weathered but smiling face in the bustling market, with the colorful background blurred, creating a strong sense of expression and story."
124,构图 + 光照 + 服装 + 化妆,对称构图下，一位未来女战士的正面特写，服装的金属质感与面部发光纹路妆容在冷色调光源下格外醒目，构图与光效共同强化了角色的科技感与力量感。,A close-up of a female warrior from the future is presented in a symmetrical composition. Her metallic costume and glowing facial patterns stand out prominently under cool-toned lighting. The composition and lighting effects work together to enhance the character's sense of technology and power.
125,整体 + 景别 + 影调 + 景深,一段关于深山古寺的纪实视频，整体意境空灵，景别从山峦远景逐步深入寺内静谧的庭院，低调影像与适当的景深变化增强了空间的幽深与禅意。,A documentary video about an ancient temple in the deep mountains has an ethereal atmosphere. The scenes progress from distant mountain ranges to the tranquil courtyards inside the temple. The low-key imagery and appropriate depth of field changes enhance the sense of depth and Zen-like ambiance.
126,色彩 + 表情 + 服装 + 化妆,狂欢节上，一位舞者脸上画着夸张的油彩妆容，身着五彩羽毛服装，伴随着音乐露出狂喜的表情，四者结合爆发出强烈的视觉狂欢与情感感染力。,"At the carnival, a dancer wore exaggerated makeup on their face and colorful feathered attire, exuding an expression of ecstasy to the music. The combination of these elements unleashed a powerful visual feast and emotional impact."
127,构图 + 景别 + 光照 + 色彩,丰收的麦田，构图利用田垄的线条引导视线，景别在金色麦浪的航拍全景与沉甸甸麦穗的特写间变化，夕阳的暖光让色彩无比饱和温暖，画面和谐愉悦。,"The ripe wheat fields, with the furrows guiding the viewer's gaze through their lines, shift between aerial panoramic shots of the golden wheat waves and close-ups of heavy wheat ears. The warm light of the setting sun saturates the colors, making them rich and warm, creating a harmonious and joyful scene."
128,整体 + 构图 + 光照 + 影调,一个展现现代极简主义建筑的视频，整体作品精准而富有设计感，构图突出建筑的几何线条，利用正午强光塑造立体感，影调干净利落。,"A video showcasing modern minimalist architecture, with the entire piece precise and design-oriented. The composition highlights the geometric lines of the buildings, using the strong midday light to create a sense of depth, with a clean and crisp tonality."
129,景别 + 光照 + 景深 + 表情,从窗外雨景的空镜，拉回到窗内人物凝视窗外的脸部特写，玻璃上的雨痕模糊了背景，柔和的天光映照出其若有所思的表情，氛围宁静。,"From an empty shot of the rain scene outside the window, the focus pulls back to a close-up of the character's face as they gaze out the window. Rain streaks on the glass blur the background, and soft natural light highlights their contemplative expression, creating a tranquil atmosphere."
130,影调 + 色彩 + 服装 + 整体,一部具有黑色电影风格的短片片段，整体风格化强烈，高对比度的黑白影调，一位穿着风衣的侦探身影在光影中穿梭，服装与影调共同定义了人物特征。,"A clip from a short film with a film noir style, featuring strong overall stylization and high-contrast black-and-white tones. A detective in a trench coat moves through the play of light and shadow, with his attire and the lighting together defining his character traits."
131,构图 + 色彩 + 景深 + 服装,熙攘的传统市集上，构图捕捉一位身着鲜艳民族服装的老奶奶，她周围色彩斑斓的商品被虚化，焦点清晰的老奶奶与其服装成为视觉中心，文化气息浓厚。,"In the bustling traditional market, the composition captures an elderly lady dressed in vibrant ethnic attire. The colorful goods around her are slightly blurred, making the sharp focus on the old lady and her clothing the visual centerpiece, exuding a strong cultural atmosphere."
132,整体 + 景别 + 光照 + 化妆,一个专业美妆教程视频，整体制作精良，景别从全脸展示到眼部唇部特写，在均匀明亮的环形光照射下，模特妆容的每一个细节都完美呈现，技术性强。,"A professional makeup tutorial video, with overall high-quality production, features shots ranging from full-face views to close-ups of the eyes and lips. Under the even and bright circular lighting, every detail of the model's makeup is perfectly presented, showcasing strong technical skills."
133,光照 + 影调 + 表情 + 化妆,戏剧性光线下，仅半张脸被照亮，凸显了角色诡异的妆容和阴郁的表情，强烈的光影对比放大了角色的神秘感和内心冲突。,"Under dramatic lighting, with only half the face illuminated, the character's eerie makeup and gloomy expression are highlighted, and the strong contrast between light and shadow amplifies their air of mystery and inner conflict."
134,构图 + 景别 + 影调 + 服装,一位孤独的骑士行走在荒原上的全景构图，景别突显环境的辽阔与人的渺小，灰冷的影调与古朴的铠甲服装共同强化了旅途的艰辛与孤独。,"A wide shot of a lone knight walking across the wilderness, emphasizing the vastness of the environment and the insignificance of human presence. The bleak and cold tones, combined with the rustic armor and clothing, accentuate the hardship and loneliness of the journey."
135,整体 + 色彩 + 景深 + 表情,一个关于初恋的微电影片段，整体色调清新柔和，大量使用浅景深突出主角青涩而甜蜜的表情，背景虚化成斑斓色块，情感表达细腻动人。,"A clip from a micro-film about first love, with an overall soft and gentle color palette. It extensively uses shallow depth of field to highlight the youthful and sweet expressions of the main characters, blurring the background into vibrant blocks of color, making the emotional expression delicate and touching."
136,构图 + 光照 + 景深 + 表情,采用经典的伦勃朗光构图，光线在人物面部形成三角光斑，浅景深使焦点落在含笑的眼眸上，虚化的背景更突出人物温柔的表情，肖像感极强。,"Using the classic Rembrandt lighting setup, the light forms a triangular highlight on the subject's face, while a shallow depth of field keeps the smiling eyes in focus, with the blurred background highlighting the gentleness of their expression, creating a very strong portrait effect."
137,景别 + 影调 + 色彩 + 景深,雾中湖面的早晨，从朦胧的远景切换到水珠挂在蛛网上的特写，影调柔和，色彩淡雅，利用景深控制使前景的水珠与后景的雾气产生层次感，画面宁静诗意。,"On a misty morning by the lake, the scene shifts from a hazy distance to a close-up of dewdrops hanging on a spider web. The tones are soft, and the colors are delicate. By controlling the depth of field, the dewdrops in the foreground and the mist in the background create layers, making the image serene and poetic."
138,整体 + 构图 + 服装 + 化妆,一场高级定制时装秀的后台记录，整体上展现了时尚工业的极致美学，构图讲究，模特们身着华服，妆容前卫，共同构成一幅视觉盛宴。,"A backstage account of a haute couture fashion show, showcasing the pinnacle of aesthetic excellence in the fashion industry. The composition is meticulously arranged, with models wearing elaborate garments and avant-garde makeup, collectively creating a visual feast."
139,光照 + 色彩 + 表情 + 服装,阳光明媚的花园中，一位少女穿着碎花裙在花丛中转身微笑，自然光线下服装的柔和色彩与周围环境相融，表情清新自然，充满青春美感。,"In the sunlit garden, a young girl in a floral dress turns to smile among the flowers. The soft colors of her dress blend harmoniously with the surroundings under natural light, and her expression is fresh and natural, exuding the beauty of youth."
140,构图 + 影调 + 色彩 + 化妆,背景纯黑的构图下，焦点是一张极具艺术感的妆容面孔，影调深沉，妆容色彩饱和度高且对比强烈，形成一种强烈、抽离的视觉艺术效果。,"Against a pitch-black backdrop, the focal point is an artfully made-up face with deep tones and high color saturation, creating a strong, detached visual artistic effect through intense contrasts."
141,整体 + 景别 + 光照 + 服装,纪录片式地跟拍一位手工艺人，整体叙事流畅真实，景别在其工作环境与专注工作的手部特写间切换，窗光柔和地照亮其传统服饰，凸显匠心与传承。,"The documentary-style filming follows a craftsman with a smooth and authentic narrative. The camera alternates between wide shots of his working environment and close-ups of his focused hands at work. Soft light from the window illuminates his traditional attire, highlighting both his craftsmanship and dedication to preserving the tradition."
142,景别 + 光照 + 影调 + 景深,幽暗的古堡走廊，从走廊尽头的微光到墙上火炬跳动的火焰特写，光线摇曳，影调低沉，景深变化增强了空间的深邃与神秘感。,"The dimly lit corridor of an ancient castle, from the faint light at the end to the close-up of the flickering flames of torches on the walls, with shifting lights and a somber tone, the changes in depth of field enhance the sense of depth and mystery of the space."
143,色彩 + 景深 + 表情 + 化妆,一个妆容创意视频，背景是纯色渐变，利用景深始终聚焦模特眼部，模特通过眼神变化传递情绪，与眼部创意彩妆相互作用，极具表现力。,"A makeup creativity video with a solid color gradient background focuses on the model's eyes using depth of field, conveying emotions through changes in her gaze and interacting with creative eye makeup, making it highly expressive."
144,整体 + 构图 + 影调 + 表情,一个人物专访视频，整体质感深刻，构图稳定，采用低调影像突出受访者面部，其真诚而复杂的表情在影调衬托下更具说服力和感染力。,"A character interview video with a profound overall quality, stable composition, and low-key lighting that highlights the respondent's face. Their sincere and complex expressions are more convincing and moving under the tonal setting."
145,光照 + 影调 + 服装 + 化妆,舞台剧场景，一道追光打在主角身上，其华丽的戏服与夸张的舞台妆容在光线下非常醒目，周围环境隐没在黑暗中，突出表演的戏剧性。,"On the stage, a spotlight falls on the main character, whose magnificent costume and exaggerated makeup stand out vividly under the light, while the surrounding environment fades into darkness, accentuating the dramatic performance."
146,构图 + 景别 + 色彩 + 服装,节日庆典上，采用高角度构图捕捉身着五彩传统服装的人群组成图案，景别展现宏大场面与个体服装细节，色彩缤纷热闹，文化氛围热烈。,"At festival celebrations, use a high-angle composition to capture groups of people dressed in colorful traditional costumes, forming intricate patterns. The shot should showcase both the grand scale of the scene and the details of individual outfits, with vibrant colors creating a lively atmosphere and a strong cultural ambiance."
147,整体 + 光照 + 色彩 + 景深,美食广告视频，整体视觉效果诱人，光线精准打亮食物凸显色泽，通过焦点转换展示食物的整体与局部质感，令人垂涎欲滴。,"The food advertisement video has an overall visually appealing effect. The lighting is precisely adjusted to highlight the colors of the food, and through focal transitions, it showcases both the overall and detailed textures of the dishes, making them look incredibly appetizing."
148,影调 + 景深 + 表情 + 服装,黑白高对比度影调下，一位身着复古西装的老绅士坐在咖啡馆角落，浅景深使其深邃的表情成为焦点，服装与影调共同营造了怀旧与故事感。,"Against a high-contrast black-and-white backdrop, an elderly gentleman dressed in vintage suit sits in the corner of a café. A shallow depth of field brings his enigmatic expression into sharp focus, with his attire and the lighting working together to evoke a sense of nostalgia and storytelling."
149,构图 + 光照 + 表情 + 化妆,特写镜头中，光线从侧面照亮模特的脸，凸显其立体的五官和精致的妆容，模特直视镜头，表情自信而略带挑衅，构图与光效强化了其个性魅力。,"In the close-up shot, light illuminates the model's face from the side, highlighting her well-defined features and delicate makeup. The model looks directly into the lens with a confident and slightly defiant expression, and the composition and lighting enhance her distinctive charm."
150,整体 + 景别 + 色彩 + 服装,一个展现民族风情的音乐视频，整体色彩浓郁奔放，景别在群舞全景与舞者个体中景间切换，传统服装的色彩和图案是视觉核心，活力四射。,"A music video showcasing ethnic charm with rich and vibrant colors. The scenes switch between wide shots of group dances and medium shots of individual dancers. The colors and patterns of the traditional costumes are the visual focal points, exuding energy and dynamism."
151,构图 + 影调 + 景深 + 表情,利用门框形成框架构图，门外是亮堂的世界，门内阴影中一个人物表情犹豫，浅景深突出了其面部挣扎，增强了叙事张力。,"Using the door frame to create a compositional boundary, the bright world outside the door contrasts with the shadowy figure inside, who looks hesitant. The shallow depth of field highlights the struggle on their face, enhancing the narrative tension."
152,光照 + 色彩 + 景深 + 服装,阳光透过树叶洒在一位穿着白裙的少女身上，形成斑驳光点，服装的白色与绿色背景色彩清新，浅景深使光斑虚化，营造梦幻氛围。,"Sunlight filtered through the leaves, casting dappled spots on a young girl dressed in a white skirt. The white of her dress against the green backdrop creates a refreshing color scheme, and the shallow depth of field blurs the light spots, creating a dreamlike atmosphere."
153,整体 + 构图 + 景别 + 影调,一段关于废弃工业区的视觉探索视频，整体风格统一且富有冲击力，构图强调钢铁结构的几何美感，景别从宏大到局部的变化在统一的冷峻影调下进行，氛围压抑而壮美。,"A visual exploration video of an abandoned industrial area with a consistent and impactful style. The composition emphasizes the geometric beauty of steel structures, with shots ranging from grand to close-up, all set against a unified cold and bleak tone. The atmosphere is oppressive yet majestic."
154,景别 + 光照 + 色彩 + 化妆,从化妆师工作的中景，推近到模特眼部妆容完成的特写，在均匀光线下，眼影的色彩过渡和闪粉细节一览无余，展现化妆的艺术性与技术性。,"From a mid-shot of the makeup artist at work, the scene zooms in to a close-up of the finished eyeshadow on the model. Under even lighting, the color transitions of the eyeshadow and the details of the shimmer are fully revealed, showcasing the artistry and technique of makeup."
155,影调 + 色彩 + 表情 + 整体,一个关于城市孤独者的短片，整体采用蓝灰色调，主角在霓虹灯下孤独行走的表情特写贯穿始终，色彩与表情共同深化了现代疏离感的主题。,"A short film about an urban loner uses an overall blue-gray tone. Close-ups of the protagonist's lonely expression as he walks under neon lights run throughout the film, with colors and expressions together deepening the theme of modern alienation."
156,构图 + 景深 + 表情 + 服装,一位身着职业套装的白领站在落地窗前，构图将其置于画面边缘望向窗外，浅景深虚化城市背景，其疲惫而坚定的表情与干练的服装定义了角色状态。,"A white-collar professional in a suit stands by a floor-to-ceiling window, positioned at the edge of the frame looking outwards. The shallow depth of field blurs the cityscape behind her, highlighting her tired yet resolute expression and her sharp, put-together attire, which defines her character's state."
157,整体 + 光照 + 影调 + 化妆,一个概念性艺术视频，整体实验性强，利用强烈的单一方向光线在模特面部制造高反差影调，妆容设计与之配合，形成抽象的光影图案，视觉独特。,"A conceptual art video with a strong experimental quality, it uses intense single-direction lighting on the model's face to create high-contrast shadows. The makeup design complements this, forming abstract patterns of light and shadow with a unique visual effect."
158,景别 + 影调 + 色彩 + 服装,从夜幕降临华灯初上的城市远景，切换到一位穿着晚礼服赴宴女子的中景，丰富的夜景色彩与服装的优雅在低影调下更显迷人。,"From the panoramic view of the city as night falls and the lights come on, the scene transitions to a medium shot of a woman in an evening gown attending a banquet. The rich colors of the night scenery and the elegance of her attire are even more captivating against the low-key lighting."
159,构图 + 光照 + 景深 + 服装,博物馆中，一束射灯照亮一件古代铠甲，构图突出其形态，景深虚化周围环境，光线充分展现了铠甲的质感与岁月痕迹，历史感厚重。,"In the museum, a spotlight illuminates an ancient suit of armor, highlighting its form while blurring the surroundings to create depth. The light fully showcases the texture and patina of the armor, imbuing it with a strong sense of history."
160,整体 + 构图 + 色彩 + 表情,一个儿童绘画过程的视频，整体充满童真与创造力，构图活泼，画面中充满孩子涂鸦的鲜艳色彩，孩子创作时专注或开心的表情特写尤为动人。,"A video of a child's painting process is filled with innocence and creativity, featuring lively compositions and bright colors from the child's scribbles. Close-ups of the child's focused or joyful expressions while creating are especially touching."
161,构图 + 景别 + 光照 + 影调 + 色彩,暮色中的古城广场，构图以钟楼为中心形成视觉引导线，景别从宏伟的全景切换到石砖墙壁的质感特写，最后一缕夕阳的暖光与逐渐升起的冷蓝色影调交织，色彩过渡自然和谐，营造出时光流逝的独特氛围。,"In the twilight, the ancient city square is centered around the clock tower, creating a visual focal point. The shot transitions from a grand panoramic view to a close-up of the texture of the stone brick walls. The last warm rays of sunlight intertwine with the rising cool blue tones, creating a natural and harmonious color transition that evokes a unique atmosphere of time passing."
162,景别 + 光照 + 色彩 + 表情 + 服装,宫廷舞会场景，从华灯初上的大厅全景推近至一位身着洛可可风格华服的女爵的中景，水晶吊灯的光线使其珠宝首饰光彩夺目，她与舞伴交谈时露出的优雅微笑与奢华服装共同定义了角色的高贵身份。,"A ballroom scene in the palace, from a wide shot of the grand hall as the chandeliers light up to a mid-shot of a duchess dressed in elaborate Rococo attire. The crystal chandeliers highlight her jewelry, and her graceful smile as she converses with her dance partner, together with her opulent costume, defines her noble status."
163,整体 + 构图 + 光照 + 表情 + 化妆,一个高级时装彩妆广告视频，整体制作堪称完美，构图极具创意地将模特面部置于视觉中心，专业影室光精准勾勒面部轮廓，模特冷艳的表情与前沿的金属质感妆容相辅相成，视觉冲击力极强。,"A high-end fashion makeup advertisement video, flawlessly produced overall, creatively centers the model's face visually, with professional studio lighting precisely outlining the facial contours. The model's icy expression complements the avant-garde metallic finish of the makeup, creating a powerful visual impact."
164,构图 + 影调 + 景深 + 服装 + 化妆,一位维多利亚时代的幽灵仕女出现在古堡走廊，构图将其置于长廊尽头形成悬念，低调影像与雾气弥漫的浅景深烘托灵异氛围，她苍白的妆容与复古的蕾丝裙装在昏暗中若隐若现。,"A Victorian-era ghostly lady appears in the corridor of an ancient castle, positioned at the end of the long hallway to create suspense. The low-key imagery and misty, shallow depth of field enhance the eerie atmosphere, with her pale makeup and vintage lace dress barely visible in the dim light."
165,光照 + 色彩 + 景深 + 表情 + 整体,一个关于夏日回忆的短片高潮片段，整体色调清新温暖，逆光勾勒出少年少女的轮廓，浅景深聚焦于他们相视而笑的灿烂表情，背景虚化成光斑，整体情感真挚动人，充满青春美感。,"A high point from a short film about summer memories, with an overall fresh and warm color tone. Backlit, the outlines of the young boy and girl are highlighted. A shallow depth of field focuses on their radiant smiles as they look at each other, with the background blurred into light spots. The overall emotion is sincere and touching, filled with the beauty of youth."
166,整体 + 景别 + 影调 + 色彩 + 服装,一部史诗电影的战斗场面，整体气势恢宏，景别在千军万马的广角与主角持剑冲锋的中景间快速切换，灰冷压抑的影调与战场上零星的旗帜色彩及主角破损的铠甲共同营造悲壮感。,"The battle scenes in an epic film are grand and majestic overall, with the camera rapidly switching between wide shots of thousands of troops and mid-shots of the protagonist charging forward with a sword. The bleak and oppressive tone, combined with the sporadic colors of the flags on the battlefield and the damaged armor of the main character, creates a sense of tragic grandeur."
167,构图 + 光照 + 影调 + 景深 + 表情,幽暗的审讯室内，一束顶光从上方打下，在嫌疑人脸上形成强烈的明暗对比，构图极具压迫感，极浅的景深使其额角汗珠和挣扎的表情成为绝对焦点，悬念感十足。,"In the dim interrogation room, a single beam of light from above casts strong contrasts of light and shadow on the suspect's face, creating a highly oppressive composition. The extremely shallow depth of field makes the sweat droplets on his forehead and his expression of struggle the absolute focal point, full of suspense."
168,景别 + 色彩 + 景深 + 表情 + 化妆,戏剧舞台上，从全景快速推至主角面部特写，其夸张的小丑妆容色彩对比强烈，泪水晕开了部分油彩，浅景深虚化背景突出其由笑转悲的复杂表情，极具戏剧张力与感染力。,"On the stage of the drama, the camera quickly zooms from a wide shot to a close-up of the main character's face. His clown makeup, with its vivid and contrasting colors, is smudged where tears have fallen, and the shallow depth of field blurs the background, highlighting the complexity of his expression as it shifts from laughter to sorrow. This scene is filled with dramatic tension and emotional impact."
169,整体 + 构图 + 色彩 + 服装 + 化妆,一场沉浸式戏曲表演记录，整体上完美展现了传统艺术的韵味，构图严谨遵循舞台美学，服装刺绣精美、妆容色彩浓重且符合行当特点，三者结合构成华丽的视觉整体。,"A record of an immersive opera performance that perfectly captures the charm of traditional art. The composition strictly adheres to the aesthetics of stage design, with exquisite embroidery on the costumes and vibrant makeup colors that match the characteristics of the roles. The combination of these elements creates a stunning visual spectacle."
170,光照 + 影调 + 色彩 + 服装 + 整体,一个具有黑色电影风格的侦探短片，整体风格化极致，昏暗街灯下形成的高反差黑白影调，一位穿着风衣、头戴礼帽的侦探身影被拉长，色彩虽缺失但通过影调与服装塑造了经典角色。,"A detective short film with a noir style, highly stylized overall, featuring high-contrast black and white tones formed under dim street lamps. The figure of a detective in a trench coat and fedora hat is elongated, and although colors are absent, the character is defined classically through the lighting and attire."
171,构图 + 景别 + 光照 + 色彩 + 景深,清晨的森林，阳光透过树叶缝隙形成丁达尔效应，构图利用树干形成自然框架，景别从弥漫着水汽的林间全景切换到蛛网上露珠的特写，色彩清新，景深层次丰富，如仙境般宁静美好。,"In the early morning forest, sunlight streaming through gaps in the leaves creates a Tyndall effect. The composition uses tree trunks to form a natural frame. The scene shifts from a panoramic view of the misty woods to a close-up of dewdrops on a spider web, with fresh colors and rich depth of field, creating a serene and beautiful paradise-like atmosphere."
172,整体 + 光照 + 影调 + 表情 + 服装,一个历史题材影片的关键独白镜头，整体表演深刻感人，烛光是唯一光源，在人物脸上跳动营造出温暖的影调，演员投入的表情与厚重的时代服装共同将观众带入剧情，情感共鸣强烈。,"A key monologue scene in a historical film is profoundly moving as a flickering candlelight serves as the only source of illumination, casting warm shadows on the actors' faces. The actors' immersive expressions, paired with their heavy period costumes, transport the audience into the narrative, evoking strong emotional resonance."
173,构图 + 影调 + 色彩 + 景深 + 服装,雨夜的小巷，构图将霓虹灯牌置于画面一角形成色彩点缀，低调影像下，一位身着透明雨衣的行人打伞走过，浅景深将背景虚化成斑斓色块，服装质感与环境色彩交融，氛围感强。,"On a rainy alleyway at night, the neon signs are placed in one corner of the frame, adding a splash of color. In this low-key image, a figure in a transparent raincoat walks by with an umbrella. The shallow depth of field blurs the background into vibrant blocks of color, blending the texture of the clothing with the environmental hues, creating a strong atmosphere."
174,景别 + 光照 + 表情 + 服装 + 化妆,科幻片中角色的变身过程，景别紧贴面部特写，皮肤下透出异光，角色痛苦挣扎的表情、逐渐覆盖身体的机械装甲与浮现的发光纹路同步变化，生动展现转变的震撼。,"The transformation process of a character in a science fiction film is closely framed in a close-up of their face, with an otherworldly glow emanating from beneath the skin. The character's expression of agony and struggle is vividly captured as mechanical armor gradually covers their body in sync with glowing patterns that emerge, showcasing the awe-inspiring nature of the transformation."
175,整体 + 构图 + 景别 + 影调 + 景深,一段关于废弃教堂的探索视频，整体氛围神秘肃穆，构图突出建筑的对称与破败，景别从外部全景深入到内部残破神像的浅景深特写，统一的低沉影调与景深变化增强了空间的空旷与历史感。,"A video exploration of an abandoned church with an overall atmosphere of mystery and solemnity. The composition highlights the symmetry and decay of the architecture, with shots ranging from wide exterior scenes to shallow depth-of-field close-ups of deteriorated statues inside. The consistent dim lighting and changes in depth of field enhance the sense of spaciousness and historical depth."
176,色彩 + 景深 + 表情 + 服装 + 化妆,狂欢节高潮，色彩爆炸般绚烂，浅景深聚焦于一位舞者狂喜的表情特写，其华丽的羽毛头饰和亮片服装在动态中闪耀，四者结合迸发出极致的欢乐与视觉狂欢。,"At the peak of the carnival, colors burst into a dazzling display. With a shallow depth of field, the camera focuses on a close-up of a dancer's ecstatic expression, their magnificent feather headdress and sparkly costume shining as they move, combining to erupt in an ultimate explosion of joy and visual splendor."
177,整体 + 构图 + 光照 + 色彩 + 表情,一个人物肖像摄影视频，整体质感如古典油画，构图稳定均衡，柔和的窗光均匀照亮模特，背景色彩深沉以突出人物，模特宁静而带有故事性的表情是画面灵魂。,"A character portrait video with an overall texture resembling classical oil paintings, featuring a stable and balanced composition. Soft window light evenly illuminates the model, while a deep background color highlights the figure. The model's serene yet narrative expression is the soul of the image."
178,景别 + 光照 + 影调 + 景深 + 服装,从地牢阴暗潮湿的全景，推近到囚犯被铁链锁住的手部特写，一束高窗的光线恰好照亮其破损的囚服和伤痕，景别与光线的运用强调了困境与希望。,"From the dark and damp panorama of the dungeon, to the close-up of the prisoner's hand locked in chains, a beam of light from a high window illuminates his broken prison uniform and wounds, emphasizing both the dilemma and hope through the use of scenery and light."
