prompt,q1,q2,q3,q4,q5,q6,o1,o2,o3,o4,o5,o6
"The ballerina spins and jumps, moving without distortion or shaking.",实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
"The moment a cat's pupils focus, the details are rich and clear.",视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"The robot assembles parts with smooth movements, and its spatial structure is fixed.",实体运动过程中是否自然不异常扭曲？,静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,
An iceberg in the Arctic glacier in pixel art style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
"The dolphin leaped out of the water with smooth, seamless movements.",实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
An exhibit in the museum in ink wash painting style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
Lady Gaga yawning.,人物是否与文本一致？,动作是否和文本一致？,动作是否真实合理？,,,,"-1：文本没有提及人物形象,1：不一致,2：不完全一致,3：一致","-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理",,,
"High-resolution aerial photos of forests with trees appearing stable and undistorted, even lighting, and no noise.",视频是否清晰？,静止的视频内容是否不因镜头移动产生异常扭曲？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否没有噪点？,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,
A caravan of camels in the Sahara Desert in cartoon style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
"A long shot of the study, with bookshelves that remain stable and undistorted, static without any drifting, and the image is sharp.",静止的视频内容是否不因镜头移动产生异常扭曲？,静止的视频内容是否稳定不随时间变动？,视频是否清晰？,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,
Michael Jordan standing up.,人物是否与文本一致？,动作是否和文本一致？,动作是否真实合理？,,,,"-1：文本没有提及人物形象,1：不一致,2：不完全一致,3：一致","-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理",,,
Madonna bending over.,人物是否与文本一致？,动作是否和文本一致？,动作是否真实合理？,,,,"-1：文本没有提及人物形象,1：不一致,2：不完全一致,3：一致","-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理",,,
A canoe on the Amazon River in pointillism style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
A city gate in Beijing Forbidden City in ukiyo-e style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
Charlie Chaplin hands on hips.,人物是否与文本一致？,动作是否和文本一致？,动作是否真实合理？,,,,"-1：文本没有提及人物形象,1：不一致,2：不完全一致,3：一致","-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理",,,
"Dark street scene, noise-free, with stable lighting and rich details.",视频是否没有噪点？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否清晰？,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,
A person smiling.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
"The ballerina spins smoothly, with clear textures in her costume, and the background remains still without any blur.",实体运动过程中是否自然不异常扭曲？,视频是否清晰？,静止的视频内容是否稳定不随时间变动？,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,
"The sunrise in the forest is normal in terms of lighting, with natural shadows and rich details.",视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否清晰？,,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,
"A common kestrel is circling in the blue sky, with the scene being clear.",视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"Dark city nightscapes, noise-free, with even exposure, sharp images, and consistent frame-to-frame quality.",视频是否没有噪点？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否清晰？,静止的视频内容是否稳定不随时间变动？,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,
"The drone flew through the canyon with a stable spatial structure, producing sharp images without flicker and with consistent lighting.",静止的视频内容是否不因镜头移动产生异常扭曲？,视频是否清晰？,静止的视频内容是否稳定不随时间变动？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,
"Microscopic photography of butterfly wings, with rich details, pure texture, and consistent frame-to-frame quality.",视频是否清晰？,视频是否没有噪点？,静止的视频内容是否稳定不随时间变动？,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,
"Microscopic cell photography, rich in detail, with clean textures, consistent frame-to-frame, and stable lighting.",视频是否清晰？,视频是否没有噪点？,静止的视频内容是否稳定不随时间变动？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,
The wings of a butterfly under a microscope reveal intricate textures in clear detail.,视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"Close-up of the wrinkles on an elderly person's face, with high-resolution skin texture.",视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"The sunrise at the mountain top has normal lighting, a clear picture, a constant static background, and no noise.",视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否清晰？,静止的视频内容是否稳定不随时间变动？,视频是否没有噪点？,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,
"A droplet falls onto a lotus leaf in ultra-slow motion, revealing rich details.",视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"An elderly person is reading with clear facial details, natural movements, normal lighting, and a stable background.",视频是否清晰？,实体运动过程中是否自然不异常扭曲？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,静止的视频内容是否稳定不随时间变动？,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,
"Aerial photography of the city at night, with sharp lights that are not blurry.",视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"The rocket launches into the sky with smooth motion, no distortion, the tail flame is not overexposed, and the signal is clean.",实体运动过程中是否自然不异常扭曲？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否没有噪点？,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,
Clear and vividly colored nebula photographs taken by a space telescope.,视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"The star trail delay is well consistent between frames, with clean signals, even exposure, and rich details.",静止的视频内容是否稳定不随时间变动？,视频是否没有噪点？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否清晰？,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,
"Walking in the snow, the movement is natural, the picture is clean, and the static background is constant.",实体运动过程中是否自然不异常扭曲？,视频是否没有噪点？,静止的视频内容是否稳定不随时间变动？,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,
The text on the ancient books has been scanned at high resolution and is clear and legible.,视频是否清晰？,,,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象",,,,,
"An elderly person is reading with clear facial details, natural movements, and normal lighting.",视频是否清晰？,实体运动过程中是否自然不异常扭曲？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,
Birds flap their wings to fly without distorting their wing movement.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
"The ballet dancers perform with smooth movements, their costumes have clear textures, and the background remains constant without any noise.",实体运动过程中是否自然不异常扭曲？,视频是否清晰？,静止的视频内容是否稳定不随时间变动？,视频是否没有噪点？,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,
Arnold Schwarzenegger writing.,人物是否与文本一致？,动作是否和文本一致？,动作是否真实合理？,,,,"-1：文本没有提及人物形象,1：不一致,2：不完全一致,3：一致","-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理",,,
Evenly lit studio portrait with clear skin texture and no shaking.,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,视频是否清晰？,实体运动过程中是否自然不异常扭曲？,,,,"1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,
"The dolphin leaps out of the water smoothly, with rich details of the seawater and stable lighting.",实体运动过程中是否自然不异常扭曲？,视频是否清晰？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",,,
"A delivery man hands a package at the doorway, with a polite smile, wearing an orange uniform and cap, body standing on the doorstep.",视频中人的生成质量如何？,,,,,,"-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,,,
"The starry sky telescope images are rich in detail, have clean signals, and show consistency from frame to frame.",视频是否清晰？,视频是否没有噪点？,静止的视频内容是否稳定不随时间变动？,,,,"-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,
